"Year","TeamId","Team","Classification","Conference","Division","ExpectedWins","Total Games","Total Wins","Total Losses","Total Ties","ConferenceGames Games","ConferenceGames Wins","ConferenceGames Losses","ConferenceGames Ties","HomeGames Games","HomeGames Wins","HomeGames Losses","HomeGames Ties","AwayGames Games","AwayGames Wins","AwayGames Losses","AwayGames Ties","NeutralSiteGames Games","NeutralSiteGames Wins","NeutralSiteGames Losses","NeutralSiteGames Ties","RegularSeason Games","RegularSeason Wins","RegularSeason Losses","RegularSeason Ties","Postseason Games","Postseason Wins","Postseason Losses","Postseason Ties"
"2023","2825","Quincy","ii","Great Lakes","","","11","6","5","0","6","2","4","0","8","4","4","0","2","1","1","0","1","1","0","0","11","6","5","0","0","0","0","0"
"2023","2509","Purdue","fbs","Big Ten","West","5.206786173050185","12","4","8","0","9","3","6","0","7","3","4","0","5","1","4","0","0","0","0","0","12","4","8","0","0","0","0","0"
"2023","2508","Puget Sound","iii","Northwest","","","9","3","6","0","8","3","5","0","5","2","3","0","4","1","3","0","0","0","0","0","9","3","6","0","0","0","0","0"
"2023","163","Princeton","fcs","Ivy","","5.361191419963191","10","5","5","0","7","4","3","0","5","2","3","0","5","3","2","0","0","0","0","0","10","5","5","0","0","0","0","0"
"2023","2506","Presbyterian","fcs","Pioneer","","2.4176918869117254","11","4","7","0","8","2","6","0","5","2","3","0","6","2","4","0","0","0","0","0","11","4","7","0","0","0","0","0"
"2023","2504","Prairie View A&M","fcs","SWAC","West","5.417182995564358","12","6","6","0","9","6","3","0","4","3","1","0","7","3","4","0","1","0","1","0","11","6","5","0","1","0","1","0"
"2023","126086","Post University","ii","Independent DII","","0.0012037245572422695","9","1","8","0","0","0","0","0","0","0","0","0","5","0","5","0","4","1","3","0","9","1","8","0","0","0","0","0"
"2023","2502","Portland State","fcs","Big Sky","","4.133802299578327","11","5","6","0","8","4","4","0","5","3","2","0","6","2","4","0","0","0","0","0","11","5","6","0","0","0","0","0"
"2023","2923","Pomona Pitzer","iii","So. Cal.","","","10","6","4","0","8","5","3","0","4","3","1","0","6","3","3","0","0","0","0","0","9","6","3","0","1","0","1","0"
"2023","2972","Plymouth State","iii","MSCAC","","","10","4","6","0","8","4","4","0","5","3","2","0","5","1","4","0","0","0","0","0","10","4","6","0","0","0","0","0"
"2023","221","Pittsburgh","fbs","ACC","Coastal","4.3186934917016195","12","3","9","0","8","2","6","0","6","3","3","0","5","0","5","0","1","0","1","0","12","3","9","0","0","0","0","0"
"2023","90","Pittsburg St","ii","Mid America","","","13","11","2","0","10","9","1","0","6","6","0","0","7","5","2","0","0","0","0","0","11","10","1","0","2","1","1","0"
"2023","2858","PennWest California","ii","Pennsylvania State Athletic","Western","","11","7","3","1","10","7","3","0","5","4","1","0","6","3","2","1","0","0","0","0","11","7","3","1","0","0","0","0"
"2023","219","Pennsylvania","fcs","Ivy","","6.337337535848848","10","6","4","0","7","3","4","0","5","2","3","0","5","4","1","0","0","0","0","0","10","6","4","0","0","0","0","0"
"2023","213","Penn State","fbs","Big Ten","East","9.08791319601373","13","10","3","0","9","7","2","0","7","6","1","0","4","3","1","0","2","1","1","0","12","10","2","0","1","0","1","0"
"2023","2486","Pacific Lutheran","iii","Northwest","","","10","5","5","0","7","4","3","0","5","3","2","0","5","2","3","0","0","0","0","0","10","5","5","0","0","0","0","0"
"2023","205","Pacific (OR)","iii","Northwest","","","10","2","7","1","8","2","6","0","5","2","2","1","5","0","5","0","0","0","0","0","10","2","7","1","0","0","0","0"
"2023","2487","Pace","ii","Northeast 10","","","10","3","7","0","7","2","5","0","5","1","4","0","5","2","3","0","0","0","0","0","10","3","7","0","0","0","0","0"
"2023","2888","Ouachita Baptist","ii","Great American","","","11","9","2","0","11","9","2","0","6","5","1","0","5","4","1","0","0","0","0","0","11","9","2","0","0","0","0","0"
